meshblock_id,deprivation_index,deprivation_scores
100,10,1167
200,10,1167
300,10,1167
400,10,1167
502,9,1126
600,10,1167
700,9,1126
800,10,1256
900,8,1035
1000,10,1162
1100,10,1162
1201,8,1035
1203,8,1046
1204,8,1058
1301,8,1068
1302,7,1016
1400,7,1010
1500,7,1010
1800,7,1010
1900,9,1096
2000,9,1096
2200,7,1029
2301,6,989
2302,6,989
2303,4,950
2304,4,950
2305,4,950
2306,8,1064
2400,9,1096
2603,9,1106
2604,9,1106
2605,9,1104
2606,10,1202
2607,9,1104
2608,9,1106
2609,10,1202
2610,7,1029
2611,8,1064
2700,7,1014
2800,9,1081
2900,7,1013
3000,7,1013
3100,10,1145
3200,9,1081
3300,7,1002
3400,7,1002
3501,9,1112
3502,9,1112
3503,9,1112
3504,9,1112
3505,9,1112
3506,9,1112
3600,10,1145
3701,10,1145
3702,9,1076
3800,9,1101
3900,9,1076
4000,10,1184
4101,7,1004
4102,9,1120
4104,8,1060
4105,8,1060
4106,8,1056
4107,8,1056
4108,8,1056
4201,8,1060
4202,8,1060
4203,8,1060
4204,8,1058
4205,10,1153
4206,8,1056
4207,8,1058
4208,8,1058
4209,8,1058
4210,8,1058
4301,10,1153
4302,9,1079
4400,8,1057
4501,8,1057
4502,8,1057
4600,9,1097
4700,9,1097
4800,8,1057
4900,7,1008
5000,9,1097
5100,8,1039
5201,9,1097
5202,9,1097
5300,,
5400,10,1143
5500,9,1109
5600,7,1010
5700,10,1143
5800,9,1081
5900,9,1081
6000,9,1100
6100,9,1100
6200,9,1092
6300,9,1100
6400,8,1037
6500,9,1092
6600,8,1038
6700,8,1037
6800,10,1171
6900,10,1175
7000,9,1113
7101,10,1147
7102,10,1147
7201,8,1050
7202,9,1080
7300,9,1080
7400,7,1018
7500,7,1018
7600,7,1018
7700,8,1050
7801,9,1100
7900,9,1100
8000,7,1015
8100,8,1064
8200,8,1064
8301,8,1051
8302,8,1050
8401,8,1050
8403,8,1050
8404,10,1153
8501,7,1015
8502,10,1152
8600,5,967
8700,7,1015
8800,7,1015
8902,10,1149
9001,10,1183
9101,6,998
9102,10,1183
9103,8,1041
9200,5,967
9300,7,1017
9400,7,1017
9500,10,1149
9600,10,1149
9700,4,936
9900,4,936
10005,8,1069
10006,8,1069
10007,8,1069
10008,8,1069
10009,8,1074
10010,8,1074
10011,8,1069
10012,8,1074
10013,8,1074
10014,8,1074
10101,10,1147
10102,10,1149
10200,8,1074
10300,8,1074
10400,4,936
10500,9,1114
10600,9,1114
10700,7,1029
10800,10,1149
10900,9,1122
11000,9,1122
11100,9,1114
11300,9,1114
11400,8,1038
11500,9,1113
11600,9,1113
11700,10,1212
11800,9,1113
11900,9,1113
12000,10,1197
12102,9,1113
12103,10,1212
12200,10,1197
12300,6,989
12400,8,1048
12500,6,989
12601,8,1048
12602,10,1147
12701,10,1147
12702,10,1147
12800,8,1064
12902,8,1051
12903,9,1107
12904,10,1265
13000,10,1256
13100,10,1245
13203,10,1347
13204,10,1178
13205,10,1153
13206,10,1278
13207,10,1278
13300,10,1183
13400,10,1210
13500,10,1316
13600,10,1210
13700,10,1178
13800,10,1316
13900,10,1163
14100,9,1132
14300,9,1132
14400,8,1063
14500,8,1063
14600,8,1052
14700,8,1052
14800,10,1183
14900,7,1013
15000,8,1052
15100,9,1094
15200,10,1183
15300,8,1041
15401,10,1154
15402,10,1154
15500,10,1318
15600,10,1251
15700,10,1316
15800,10,1246
15900,10,1246
16000,10,1251
16100,10,1316
16200,10,1153
16300,10,1153
16400,10,1316
16500,10,1316
16600,10,1334
16700,10,1334
16800,10,1334
17006,,
17301,7,1013
17302,7,1013
17402,8,1052
17403,7,1014
17404,7,1014
17405,7,1014
17406,7,1014
17407,7,1014
17408,7,1014
17409,7,1014
17500,8,1052
17600,7,1013
17700,10,1172
17800,10,1172
17900,10,1200
18000,10,1172
18100,10,1200
18201,9,1095
18202,8,1069
18203,8,1069
18300,10,1172
18400,8,1037
18500,10,1164
18600,9,1097
18700,9,1097
18800,8,1069
18900,10,1249
19000,5,970
19100,9,1097
19200,8,1069
19300,8,1069
19400,5,970
19600,9,1090
19700,9,1090
19801,10,1164
19802,9,1101
19900,7,1011
20000,9,1084
20200,9,1101
20300,9,1097
20401,5,973
20402,9,1129
20500,,
20600,8,1037
20700,9,1140
20800,8,1037
20900,8,1037
21000,8,1037
21100,8,1037
21200,9,1140
21300,9,1140
21400,9,1140
21500,9,1140
21600,9,1140
21900,8,1059
22000,10,1270
22100,8,1059
22200,10,1166
22300,10,1166
22400,10,1166
22500,9,1091
22600,10,1227
22700,10,1227
22800,10,1246
22900,10,1246
23000,10,1217
23100,10,1359
23200,10,1217
23300,9,1091
23400,10,1217
23600,10,1277
23700,10,1277
23800,10,1239
23900,10,1239
24000,9,1132
24100,9,1132
24201,10,1277
24300,10,1167
24400,10,1227
24500,10,1246
24600,10,1246
24700,10,1173
24900,9,1087
25000,9,1087
25100,9,1087
25200,10,1223
25300,10,1223
25400,10,1173
25500,10,1173
25600,10,1269
25700,10,1269
25800,10,1215
25900,10,1215
26001,10,1233
26002,10,1233
26100,9,1094
26201,10,1269
26202,10,1235
26301,10,1215
26302,10,1215
26303,10,1269
26304,10,1215
26305,9,1094
26400,10,1269
26500,9,1094
26600,9,1094
26700,10,1173
26800,10,1173
26900,10,1173
27000,10,1160
27100,10,1173
27300,10,1160
27400,10,1160
27500,10,1160
27600,10,1160
27700,10,1160
27800,10,1171
27900,10,1171
28000,9,1135
28100,10,1171
28201,10,1171
28202,9,1135
28300,9,1135
28500,10,1197
28600,10,1197
28700,10,1197
28800,10,1197
